depth_thr_m,adm3_id,adm3_name,affected_pop,event_id,source,peak_date
0.3,44,Cabatuan,0.0,HIST_0000,historical,1980-11-06
0.3,45,Aurora,0.0,HIST_0000,historical,1980-11-06
0.3,46,Hungduan,0.0,HIST_0000,historical,1980-11-06
0.3,47,Camalaniugan,0.0,HIST_0000,historical,1980-11-06
0.3,48,Echague,0.0,HIST_0000,historical,1980-11-06
0.3,49,San Mateo,0.0,HIST_0000,historical,1980-11-06
0.3,50,Diadi,0.0,HIST_0000,historical,1980-11-06
0.3,51,Lamut,0.0,HIST_0000,historical,1980-11-06
0.3,52,Ramon,0.0,HIST_0000,historical,1980-11-06
0.3,53,City of Santiago,0.0,HIST_0000,historical,1980-11-06
0.3,54,City of Cauayan,0.0,HIST_0000,historical,1980-11-06
0.3,55,Alicia,0.0,HIST_0000,historical,1980-11-06
0.3,56,Banaue,0.0,HIST_0000,historical,1980-11-06
0.3,57,Quezon,0.0,HIST_0000,historical,1980-11-06
0.3,58,Mallig,0.0,HIST_0000,historical,1980-11-06
0.3,59,Sanchez-Mira,0.0,HIST_0000,historical,1980-11-06
0.3,60,San Isidro,0.0,HIST_0000,historical,1980-11-06
0.3,61,Cordon,0.0,HIST_0000,historical,1980-11-06
0.3,62,San Pablo,2147.6900564446114,HIST_0000,historical,1980-11-06
0.3,63,Pasil,0.0,HIST_0000,historical,1980-11-06
0.3,64,Alfonso Lista,0.0,HIST_0000,historical,1980-11-06
0.3,65,Balbalan,0.0,HIST_0000,historical,1980-11-06
0.3,66,Kabugao,0.0,HIST_0000,historical,1980-11-06
0.3,67,Piat,2.777379035949707,HIST_0000,historical,1980-11-06
0.3,68,Mayoyao,0.0,HIST_0000,historical,1980-11-06
0.3,69,Lasam,83.2716053724289,HIST_0000,historical,1980-11-06
0.3,70,Luna,0.0,HIST_0000,historical,1980-11-06
0.3,71,Luna,0.0,HIST_0000,historical,1980-11-06
0.3,72,Tineg,0.0,HIST_0000,historical,1980-11-06
0.3,73,Reina Mercedes,0.0,HIST_0000,historical,1980-11-06
0.3,74,Divilacan,0.0,HIST_0000,historical,1980-11-06
0.3,75,Malibcong,0.0,HIST_0000,historical,1980-11-06
0.3,76,Santa Maria,1850.300164170796,HIST_0000,historical,1980-11-06
0.3,77,Pudtol,0.0,HIST_0000,historical,1980-11-06
0.3,78,Lal-Lo,95.92101120669395,HIST_0000,historical,1980-11-06
0.3,79,Santa Teresita,0.0,HIST_0000,historical,1980-11-06
0.3,80,Tuguegarao City,92967.66405183333,HIST_0000,historical,1980-11-06
0.3,81,Allacapan,0.0,HIST_0000,historical,1980-11-06
0.3,82,Calanasan,0.0,HIST_0000,historical,1980-11-06
0.3,83,Aparri,0.0,HIST_0000,historical,1980-11-06
0.3,84,Iguig,9812.942124869674,HIST_0000,historical,1980-11-06
0.3,85,Bontoc,0.0,HIST_0000,historical,1980-11-06
0.3,86,Quirino,0.0,HIST_0000,historical,1980-11-06
0.3,87,Maconacon,0.0,HIST_0000,historical,1980-11-06
0.3,88,Gattaran,4357.2657605872955,HIST_0000,historical,1980-11-06
0.3,89,Lagawe,0.0,HIST_0000,historical,1980-11-06
0.3,90,Burgos,0.0,HIST_0000,historical,1980-11-06
0.3,91,Pamplona,0.0,HIST_0000,historical,1980-11-06
0.3,92,Santa Praxedes,0.0,HIST_0000,historical,1980-11-06
0.3,93,Hingyon,0.0,HIST_0000,historical,1980-11-06
0.3,94,Gonzaga,0.0,HIST_0000,historical,1980-11-06
0.3,95,Sadanga,0.0,HIST_0000,historical,1980-11-06
0.3,96,Tanudan,0.0,HIST_0000,historical,1980-11-06
0.3,97,Santo Tomas,0.0,HIST_0000,historical,1980-11-06
0.5,1,Amulung,4441.064093542285,HIST_0000,historical,1980-11-06
0.5,2,Alcala,1138.3120820140466,HIST_0000,historical,1980-11-06
0.5,3,Lubuagan,0.0,HIST_0000,historical,1980-11-06
0.5,4,Baggao,9726.306953027495,HIST_0000,historical,1980-11-06
0.5,5,City of Tabuk,0.0,HIST_0000,historical,1980-11-06
0.5,6,Delfin Albano,0.0,HIST_0000,historical,1980-11-06
0.5,7,Peñablanca,375.0141101870686,HIST_0000,historical,1980-11-06
0.5,8,Natonin,0.0,HIST_0000,historical,1980-11-06
0.5,9,Tumauini,0.0,HIST_0000,historical,1980-11-06
0.5,10,Benito Soliven,0.0,HIST_0000,historical,1980-11-06
0.5,11,Pinukpuk,0.0,HIST_0000,historical,1980-11-06
0.5,12,Angadanan,0.0,HIST_0000,historical,1980-11-06
0.5,13,San Mariano,0.0,HIST_0000,historical,1980-11-06
0.5,14,Claveria,0.0,HIST_0000,historical,1980-11-06
0.5,15,Santa Ana,0.0,HIST_0000,historical,1980-11-06
0.5,16,Buguey,0.0,HIST_0000,historical,1980-11-06
0.5,17,Tuao,0.0,HIST_0000,historical,1980-11-06
0.5,18,Naguilian,0.0,HIST_0000,historical,1980-11-06
0.5,19,Enrile,29120.29837599583,HIST_0000,historical,1980-11-06
0.5,20,Dinapigue,0.0,HIST_0000,historical,1980-11-06
0.5,21,Rizal,1466.5276633172762,HIST_0000,historical,1980-11-06
0.5,22,Tinglayan,0.0,HIST_0000,historical,1980-11-06
0.5,23,Solana,26526.43008854764,HIST_0000,historical,1980-11-06
0.5,24,Gamu,0.0,HIST_0000,historical,1980-11-06
0.5,25,Santa Marcela,0.0,HIST_0000,historical,1980-11-06
0.5,26,Paracelis,0.0,HIST_0000,historical,1980-11-06
0.5,27,San Manuel,0.0,HIST_0000,historical,1980-11-06
0.5,28,Abulug,0.0,HIST_0000,historical,1980-11-06
0.5,29,Ilagan City,0.0,HIST_0000,historical,1980-11-06
0.5,30,Santo Niño,0.0,HIST_0000,historical,1980-11-06
0.5,31,Barlig,0.0,HIST_0000,historical,1980-11-06
0.5,32,Kiangan,0.0,HIST_0000,historical,1980-11-06
0.5,33,Palanan,0.0,HIST_0000,historical,1980-11-06
0.5,34,Roxas,0.0,HIST_0000,historical,1980-11-06
0.5,35,Rizal,0.0,HIST_0000,historical,1980-11-06
0.5,36,Asipulo,0.0,HIST_0000,historical,1980-11-06
0.5,37,Flora,0.0,HIST_0000,historical,1980-11-06
0.5,38,Aguinaldo,0.0,HIST_0000,historical,1980-11-06
0.5,39,Conner,0.0,HIST_0000,historical,1980-11-06
0.5,40,San Guillermo,0.0,HIST_0000,historical,1980-11-06
0.5,41,Lacub,0.0,HIST_0000,historical,1980-11-06
0.5,42,Ballesteros,0.0,HIST_0000,historical,1980-11-06
0.5,43,Cabagan,0.0,HIST_0000,historical,1980-11-06
0.5,44,Cabatuan,0.0,HIST_0000,historical,1980-11-06
0.5,45,Aurora,0.0,HIST_0000,historical,1980-11-06
0.5,46,Hungduan,0.0,HIST_0000,historical,1980-11-06
0.5,47,Camalaniugan,0.0,HIST_0000,historical,1980-11-06
0.5,48,Echague,0.0,HIST_0000,historical,1980-11-06
0.5,49,San Mateo,0.0,HIST_0000,historical,1980-11-06
0.5,50,Diadi,0.0,HIST_0000,historical,1980-11-06
0.5,51,Lamut,0.0,HIST_0000,historical,1980-11-06
0.5,52,Ramon,0.0,HIST_0000,historical,1980-11-06
0.5,53,City of Santiago,0.0,HIST_0000,historical,1980-11-06
